ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-07-01,2025-05-21,2025-07-01,2025-07-23,0.248
2025-04-01,2025-02-19,2025-04-01,2025-04-23,0.248
2024-12-31,2024-11-20,2024-12-31,2025-01-22,0.248
2024-10-01,2024-09-18,2024-10-01,2024-10-23,0.236
2024-07-02,2024-05-22,2024-07-02,2024-07-24,0.236
2024-04-01,2024-02-21,2024-04-02,2024-04-24,0.236
2023-12-29,2023-11-15,2024-01-02,2024-01-24,0.236
2023-10-02,2023-09-20,2023-10-03,2023-10-25,0.225
2023-06-30,2023-05-17,2023-07-03,2023-07-26,0.225
2023-04-03,2023-02-22,2023-04-04,2023-04-26,0.225
2022-12-30,2022-11-16,2023-01-03,2023-01-25,0.225
2022-10-03,2022-09-21,2022-10-04,2022-10-26,0.21
2022-07-01,2022-05-18,2022-07-05,2022-07-27,0.21
2022-04-04,2022-02-15,2022-04-05,2022-04-27,0.21
2022-01-03,2021-11-17,2022-01-04,2022-01-26,0.21
2021-10-04,2021-09-22,2021-10-05,2021-10-27,0.194
2021-07-02,None,None,None,0.194
2021-04-05,2021-03-17,2021-04-06,2021-04-28,0.194
2021-01-04,2020-11-18,2021-01-05,2021-01-27,0.194
2020-10-05,2020-09-16,2020-10-06,2020-10-28,0.18
2020-06-29,None,None,None,0.18
2020-03-30,None,None,None,0.18
2019-12-30,None,None,None,0.18
2019-09-30,None,None,None,0.164
2019-07-01,None,None,None,0.164
2019-04-01,None,None,None,0.164
2018-12-28,None,None,None,0.164
2018-10-01,None,None,None,0.149
2018-07-02,None,None,None,0.149
2018-04-02,None,None,None,0.149
2017-12-29,None,None,None,0.149
2017-10-02,None,None,None,0.132
2017-06-29,None,None,None,0.132
2017-03-31,None,None,None,0.132
2016-12-29,None,None,None,0.132
2016-09-30,None,None,None,0.115
2016-06-30,None,None,None,0.115
2016-04-01,None,None,None,0.115
2015-12-31,None,None,None,0.115
2015-09-25,None,None,None,0.1
2015-06-26,None,None,None,0.1
2015-03-27,None,None,None,0.1
2015-01-02,None,None,None,0.1
2014-11-03,None,None,None,15.75
2014-09-26,None,None,None,0.132
2014-06-27,None,None,None,0.132
2014-04-09,None,None,None,0.132
2013-12-27,None,None,None,0.132
2013-09-27,None,None,None,0.12
2013-06-28,None,None,None,0.12
2013-03-28,None,None,None,0.12
2012-12-27,None,None,None,0.1
2012-09-28,None,None,None,0.1
2012-06-29,None,None,None,0.1
2012-03-30,None,None,None,0.1
