ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-10-15,2025-09-05,2025-10-15,2025-11-14,1.64
2025-07-15,2025-06-20,2025-07-15,2025-08-15,1.64
2025-04-15,2025-02-13,2025-04-15,2025-05-15,1.64
2025-01-15,2024-10-30,2025-01-15,2025-02-14,1.64
2024-10-15,2024-09-06,2024-10-15,2024-11-15,1.55
2024-07-15,2024-06-20,2024-07-15,2024-08-15,1.55
2024-04-12,2024-02-15,2024-04-15,2024-05-15,1.55
2024-01-12,2023-10-27,2024-01-16,2024-02-15,1.55
2023-10-12,2023-09-08,2023-10-13,2023-11-15,1.48
2023-07-13,2023-06-22,2023-07-14,2023-08-15,1.48
2023-04-13,2023-02-16,2023-04-14,2023-05-15,1.48
2023-01-12,2022-10-28,2023-01-13,2023-02-15,1.48
2022-10-13,2022-09-09,2022-10-14,2022-11-15,1.41
2022-07-14,2022-06-23,2022-07-15,2022-08-15,1.41
2022-04-13,2022-02-17,2022-04-15,2022-05-16,1.41
2022-01-13,2021-10-29,2022-01-14,2022-02-15,1.41
2021-10-14,2021-09-10,2021-10-15,2021-11-15,1.3
2021-07-14,2021-06-17,2021-07-15,2021-08-16,1.3
2021-04-14,2021-02-18,2021-04-15,2021-05-14,1.3
2021-01-14,2020-10-30,2021-01-15,2021-02-16,1.3
2020-10-14,None,None,None,1.18
2020-07-14,2020-06-17,2020-07-15,2020-08-14,1.18
2020-04-14,None,None,None,1.18
2020-01-14,None,None,None,1.18
2019-10-11,None,None,None,1.07
2019-07-12,None,None,None,1.07
2019-04-12,None,None,None,1.07
2019-01-14,None,None,None,1.07
2018-10-12,None,None,None,0.96
2018-07-12,None,None,None,0.96
2018-04-12,None,None,None,0.96
2018-01-11,None,None,None,0.71
2017-10-12,None,None,None,0.64
2017-07-12,None,None,None,0.64
2017-04-11,None,None,None,0.64
2017-01-11,None,None,None,0.64
2016-10-12,None,None,None,0.57
2016-07-13,None,None,None,0.57
2016-04-13,None,None,None,0.57
2016-01-13,None,None,None,0.57
2015-10-13,None,None,None,0.51
2015-07-13,None,None,None,0.51
2015-04-13,None,None,None,0.51
2015-01-13,None,None,None,0.49
2014-10-10,None,None,None,0.42
2014-07-11,None,None,None,0.42
2014-04-11,None,None,None,0.42
2014-01-13,None,None,None,0.4
2013-10-10,None,None,None,0.4
2013-07-11,None,None,None,0.4
2013-04-11,None,None,None,0.4
2013-01-11,None,None,None,0.4
