ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-07-15,2025-06-13,2025-07-15,2025-08-15,0.59
2025-04-15,2025-02-21,2025-04-15,2025-05-15,0.59
2025-01-15,2024-12-13,2025-01-15,2025-02-14,0.59
2024-10-15,2024-09-19,2024-10-15,2024-11-15,0.55
2024-07-15,2024-06-14,2024-07-15,2024-08-15,0.55
2024-04-12,2024-02-16,2024-04-15,2024-05-15,0.55
2024-01-11,2023-12-15,2024-01-12,2024-02-15,0.55
2023-10-12,2023-09-21,2023-10-13,2023-11-15,0.51
2023-07-13,2023-06-09,2023-07-14,2023-08-15,0.51
2023-04-13,2023-02-17,2023-04-14,2023-05-15,0.51
2023-01-12,2022-12-09,2023-01-13,2023-02-15,0.51
2022-10-13,2022-09-15,2022-10-14,2022-11-15,0.47
2022-07-14,2022-06-10,2022-07-15,2022-08-15,0.47
2022-04-13,2022-02-18,2022-04-15,2022-05-16,0.47
2022-01-13,2021-12-10,2022-01-14,2022-02-15,0.47
2021-10-14,2021-09-15,2021-10-15,2021-11-15,0.45
2021-07-14,2021-06-11,2021-07-15,2021-08-16,0.45
2021-04-14,2021-02-19,2021-04-15,2021-05-17,0.45
2021-01-14,2020-12-11,2021-01-15,2021-02-16,0.45
2020-10-14,None,None,None,0.36
2020-07-14,2020-06-12,2020-07-15,2020-08-17,0.36
2020-04-14,None,None,None,0.36
2020-01-14,None,None,None,0.36
2019-10-11,None,None,None,0.32
2019-07-12,None,None,None,0.32
2019-04-12,None,None,None,0.32
2019-01-14,None,None,None,0.32
2018-10-12,None,None,None,0.28
2018-07-12,None,None,None,0.28
2018-04-12,None,None,None,0.28
2018-01-11,None,None,None,0.28
2017-10-12,None,None,None,0.265
2017-07-12,None,None,None,0.265
2017-04-11,None,None,None,0.265
2017-01-11,None,None,None,0.265
2016-10-12,None,None,None,0.26
2016-07-13,None,None,None,0.26
2016-04-13,None,None,None,0.26
2016-01-13,None,None,None,0.26
2015-10-13,None,None,None,0.24
2015-07-13,None,None,None,0.24
2015-04-13,None,None,None,0.24
2015-01-13,None,None,None,0.24
2014-10-10,None,None,None,0.22
2014-07-11,None,None,None,0.22
2014-04-11,None,None,None,0.22
2014-01-13,None,None,None,0.22
2013-10-10,None,None,None,0.14
2013-07-11,None,None,None,0.14
2013-04-11,None,None,None,0.14
2013-01-11,None,None,None,0.14
2013-01-02,None,None,None,34.6497213622
2012-10-11,None,None,None,0.51
2012-07-11,None,None,None,0.51
2012-04-11,None,None,None,0.51
2012-01-11,None,None,None,0.48
2011-10-12,None,None,None,0.48
2011-07-13,None,None,None,0.48
2011-04-13,None,None,None,0.48
2011-01-12,None,None,None,0.44
2010-10-13,None,None,None,0.44
2010-07-13,None,None,None,0.44
2010-04-13,None,None,None,0.44
2010-01-13,None,None,None,0.4
2009-10-13,None,None,None,0.4
2009-07-13,None,None,None,0.4
2009-04-13,None,None,None,0.4
2009-01-13,None,None,None,0.36
2008-10-10,None,None,None,0.36
2008-07-11,None,None,None,0.36
2008-04-11,None,None,None,0.36
2008-01-11,None,None,None,0.325
2007-10-11,None,None,None,0.325
2007-07-11,None,None,None,0.325
2007-04-11,None,None,None,0.325
2007-01-10,None,None,None,0.295
2006-10-11,None,None,None,0.295
2006-07-12,None,None,None,0.295
2006-04-11,None,None,None,0.14154
2006-01-11,None,None,None,0.13195
2005-10-12,None,None,None,0.275
2005-07-13,None,None,None,0.275
2005-04-13,None,None,None,0.275
2005-01-12,None,None,None,0.26
2004-10-13,None,None,None,0.26
2004-07-13,None,None,None,0.26
2004-05-03,None,None,None,2.9154459753
2004-04-13,None,None,None,0.26
2004-01-13,None,None,None,0.245
2003-10-10,None,None,None,0.245
2003-07-11,None,None,None,0.245
2003-04-11,None,None,None,0.245
2003-01-13,None,None,None,0.235
2002-10-10,None,None,None,0.235
2002-07-11,None,None,None,0.235
2002-04-11,None,None,None,0.235
2002-01-11,None,None,None,0.21
2001-10-11,None,None,None,0.21
2001-07-11,None,None,None,0.21
2001-04-10,None,None,None,0.21
2001-01-10,None,None,None,0.19
2000-10-11,None,None,None,0.08529
2000-07-12,None,None,None,0.08529
2000-04-12,None,None,None,0.08529
2000-01-12,None,None,None,0.07631
1999-10-13,None,None,None,0.07631
1999-07-13,None,None,None,0.07631
1999-04-13,None,None,None,0.07631
1999-01-13,None,None,None,0.06734
