ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-07-10,None,None,None,1.48
2025-04-10,2025-03-20,2025-04-10,2025-05-15,1.48
2025-01-16,2024-11-19,2025-01-16,2025-02-14,1.48
2024-10-10,2024-09-26,2024-10-10,2024-11-15,1.48
2024-07-11,2024-06-20,2024-07-11,2024-08-15,1.29
2024-04-10,2024-03-21,2024-04-11,2024-05-15,1.29
2024-01-17,2023-11-15,2024-01-18,2024-02-15,1.29
2023-10-11,2023-09-28,2023-10-12,2023-11-15,1.29
2023-07-12,2023-05-15,2023-07-13,2023-08-15,1.12
2023-04-12,2023-03-23,2023-04-13,2023-05-15,1.12
2023-01-11,2022-12-16,2023-01-12,2023-02-15,1.12
2023-01-09,2022-12-16,2023-01-10,2023-02-15,0.0
2022-10-12,2022-09-22,2022-10-13,2022-11-15,1.12
2022-07-13,2022-05-13,2022-07-14,2022-08-15,0.97
2022-04-13,2022-03-17,2022-04-14,2022-05-13,0.97
2022-01-12,None,None,None,0.97
2021-10-13,2021-09-23,2021-10-14,2021-11-15,0.97
2021-07-14,2021-06-24,2021-07-15,2021-08-13,0.88
2021-04-14,2021-03-17,2021-04-15,2021-05-14,0.88
2021-01-13,2020-12-17,2021-01-14,2021-02-12,0.88
2020-10-09,2020-09-24,2020-10-13,2020-11-13,0.88
2020-07-15,None,None,None,0.8
2020-04-15,None,None,None,0.8
2020-01-15,None,None,None,0.8
2019-10-16,None,None,None,0.8
2019-04-10,None,None,None,1.46
2018-10-17,None,None,None,1.46
2018-04-11,None,None,None,1.33
2017-10-18,None,None,None,1.33
2017-04-11,None,None,None,1.21
2016-10-19,None,None,None,1.21
2016-04-13,None,None,None,1.1
2015-10-14,None,None,None,1.1
2015-04-08,None,None,None,1.02
2014-10-15,None,None,None,1.02
2014-04-09,None,None,None,0.93
2013-10-09,None,None,None,0.93
2013-04-10,None,None,None,0.81
2012-10-10,None,None,None,0.81
2012-04-11,None,None,None,0.675
2011-10-12,None,None,None,0.675
2011-04-13,None,None,None,0.45
2010-10-13,None,None,None,0.45
2010-04-14,None,None,None,0.375
2009-10-14,None,None,None,0.75
2008-10-08,None,None,None,1.0
2007-10-10,None,None,None,0.42
2006-10-11,None,None,None,0.35
2005-10-13,None,None,None,0.3
