ex_dividend_date,declaration_date,record_date,payment_date,amount
2005-03-24,None,None,None,0.0125
2004-12-23,None,None,None,0.0125
2004-09-24,None,None,None,0.0125
2004-06-25,None,None,None,0.0125
2004-03-26,None,None,None,0.0125
2004-01-07,None,None,None,0.0125
2003-09-19,None,None,None,0.0125
2003-06-19,None,None,None,0.0125
2003-03-20,None,None,None,0.0125
2003-01-07,None,None,None,0.0125
2002-09-20,None,None,None,0.0125
2002-06-21,None,None,None,0.0125
2002-03-21,None,None,None,0.0125
2001-12-31,None,None,None,0.0125
2001-09-21,None,None,None,0.0125
2001-06-22,None,None,None,0.0125
2001-03-22,None,None,None,0.0125
2001-01-02,None,None,None,0.0125
2000-09-28,None,None,None,0.025
2000-06-30,None,None,None,0.025
2000-03-23,None,None,None,0.025
1999-12-23,None,None,None,0.025
1999-09-24,None,None,None,0.05
1999-06-29,None,None,None,0.05
1999-03-29,None,None,None,0.05
