ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-09-02,2025-08-19,2025-09-02,2025-09-16,0.99
2025-06-04,2025-05-21,2025-06-04,2025-06-18,0.99
2025-03-04,2025-02-18,2025-03-04,2025-03-17,0.99
2024-12-09,2024-11-26,2024-12-09,2024-12-20,0.92
2024-09-03,2024-08-21,2024-09-03,2024-09-17,0.92
2024-06-04,2024-05-22,2024-06-04,2024-06-17,0.92
2024-03-04,2024-02-20,2024-03-05,2024-03-15,0.92
2023-12-01,2023-11-21,2023-12-04,2023-12-14,0.86
2023-09-01,2023-08-23,2023-09-05,2023-09-14,0.86
2023-06-02,2023-05-24,2023-06-05,2023-06-14,0.86
2023-02-24,2023-02-14,2023-02-27,2023-03-08,0.86
2022-12-02,2022-11-22,2022-12-05,2022-12-15,0.76
2022-08-29,2022-08-17,2022-08-30,2022-09-08,0.76
2022-05-27,2022-05-18,2022-05-31,2022-06-09,0.76
2022-02-24,2022-02-15,2022-02-25,2022-03-08,0.76
2021-12-02,2021-11-22,2021-12-03,2021-12-14,0.69
2021-08-26,2021-08-18,2021-08-27,2021-09-08,0.69
2021-05-27,None,None,None,0.69
2021-02-25,2021-02-16,2021-02-26,2021-03-09,0.69
2020-12-03,2020-11-24,2020-12-04,2020-12-15,0.62
2020-08-27,2020-08-18,2020-08-28,2020-09-09,0.62
2020-05-28,None,None,None,0.62
2020-02-27,None,None,None,0.62
2019-12-05,None,None,None,0.54
2019-08-29,None,None,None,0.54
2019-05-30,None,None,None,0.54
2019-02-28,None,None,None,0.54
2018-11-28,None,None,None,0.48
2018-08-30,None,None,None,0.48
2018-06-07,None,None,None,0.48
2018-03-08,None,None,None,0.48
2017-11-30,None,None,None,0.45
2017-09-07,None,None,None,0.45
2017-06-07,None,None,None,0.45
2017-02-22,None,None,None,0.45
2016-11-30,None,None,None,0.42
2016-08-24,None,None,None,0.42
2016-05-25,None,None,None,0.42
2016-02-24,None,None,None,0.42
2015-12-02,None,None,None,0.4
2015-08-26,None,None,None,0.4
2015-05-27,None,None,None,0.4
2015-02-25,None,None,None,0.4
2014-12-03,None,None,None,0.37
2014-09-03,None,None,None,0.37
2014-05-28,None,None,None,0.37
2014-02-26,None,None,None,0.37
2013-12-04,None,None,None,0.34
2013-08-28,None,None,None,0.34
2013-05-29,None,None,None,0.34
2013-02-27,None,None,None,0.34
2012-12-05,None,None,None,0.3
2012-08-29,None,None,None,0.3
2012-05-30,None,None,None,0.3
2012-03-07,None,None,None,0.3
2011-11-30,None,None,None,0.25
2011-08-24,None,None,None,0.25
2011-05-25,None,None,None,0.25
2011-03-02,None,None,None,0.22
2010-12-01,None,None,None,0.22
2010-08-25,None,None,None,0.22
2010-05-26,None,None,None,0.22
2010-03-03,None,None,None,0.2
2009-12-02,None,None,None,0.2
2009-08-25,None,None,None,0.2
2009-05-27,None,None,None,0.2
2009-03-04,None,None,None,0.2
2008-12-03,None,None,None,0.2
2008-08-27,None,None,None,0.2
2008-05-28,None,None,None,0.2
2008-03-05,None,None,None,0.18
2007-12-05,None,None,None,0.18
2007-08-29,None,None,None,0.18
2007-05-30,None,None,None,0.18
2007-03-07,None,None,None,0.18
2006-11-21,None,None,None,0.16
2006-08-23,None,None,None,0.16
2006-05-24,None,None,None,0.16
2006-02-22,None,None,None,0.1205
2005-11-22,None,None,None,0.12
2005-08-24,None,None,None,0.1
2005-05-25,None,None,None,0.1
2005-02-23,None,None,None,0.06
2004-12-01,None,None,None,0.06
2004-08-25,None,None,None,0.06
2004-05-26,None,None,None,0.06
2004-02-25,None,None,None,0.04
2003-11-25,None,None,None,0.04
