ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-08-20,2025-08-06,2025-08-20,2025-09-10,0.51
2025-05-21,2025-05-07,2025-05-21,2025-06-11,0.51
2025-02-18,2025-02-04,2025-02-18,2025-03-11,0.51
2024-11-21,2024-11-08,2024-11-21,2024-12-12,0.5
2024-08-21,2024-08-07,2024-08-21,2024-09-11,0.5
2024-05-15,2024-05-01,2024-05-16,2024-06-05,0.5
2024-02-07,2024-01-25,2024-02-08,2024-02-29,0.5
2023-11-14,2023-11-01,2023-11-15,2023-12-06,0.45
2023-08-15,2023-08-02,2023-08-16,2023-09-06,0.45
2023-05-16,2023-05-04,2023-05-17,2023-06-07,0.45
2023-02-08,2023-01-26,2023-02-09,2023-03-02,0.45
2022-11-15,2022-11-02,2022-11-16,2022-12-07,0.4
2022-08-16,2022-08-03,2022-08-17,2022-09-07,0.4
2022-05-17,2022-05-04,2022-05-18,2022-06-08,0.4
2022-02-07,2022-01-25,2022-02-08,2022-03-01,0.4
2021-11-16,2021-11-03,2021-11-17,2021-12-08,0.37
2021-08-17,2021-08-04,2021-08-18,2021-09-08,0.37
2021-05-18,None,None,None,0.37
2021-02-08,2021-01-26,2021-02-09,2021-03-02,0.37
2020-11-18,2020-11-05,2020-11-19,2020-12-10,0.36
2020-08-18,2020-08-05,2020-08-19,2020-09-09,0.36
2020-05-19,None,None,None,0.36
2020-02-12,None,None,None,0.36
2019-11-20,None,None,None,0.35
2019-08-21,None,None,None,0.35
2019-05-14,None,None,None,0.35
2019-02-15,None,None,None,0.35
2018-11-21,None,None,None,0.335
2018-08-15,None,None,None,0.335
2018-05-16,None,None,None,0.335
2018-02-16,None,None,None,0.335
2017-11-15,None,None,None,0.32
2017-08-15,None,None,None,0.32
2017-05-16,None,None,None,0.32
2017-02-16,None,None,None,0.32
2016-11-14,None,None,None,0.3
2016-08-15,None,None,None,0.3
2016-05-16,None,None,None,0.3
2016-02-11,None,None,None,0.3
2015-11-16,None,None,None,0.28
2015-08-17,None,None,None,0.28
2015-05-19,None,None,None,0.28
2015-02-12,None,None,None,0.28
2014-11-18,None,None,None,0.24
2014-08-19,None,None,None,0.24
2014-05-13,None,None,None,0.24
2014-02-18,None,None,None,0.24
2013-11-12,None,None,None,0.19
2013-08-20,None,None,None,0.19
2013-05-14,None,None,None,0.19
2013-02-15,None,None,None,0.19
2012-11-13,None,None,None,0.175
2012-08-14,None,None,None,0.175
2012-05-15,None,None,None,0.175
2012-02-14,None,None,None,0.175
2011-11-15,None,None,None,0.175
2011-08-16,None,None,None,0.16
2011-05-17,None,None,None,0.16
2011-02-15,None,None,None,0.16
2010-11-16,None,None,None,0.15
2010-08-17,None,None,None,0.15
2010-05-18,None,None,None,0.15
2010-02-16,None,None,None,0.15
2009-11-17,None,None,None,0.14
2009-08-18,None,None,None,0.14
2009-05-19,None,None,None,0.14
2009-02-17,None,None,None,0.14
2008-11-18,None,None,None,0.13
2008-08-19,None,None,None,0.13
2008-05-13,None,None,None,0.13
2008-02-14,None,None,None,0.13
2007-11-20,None,None,None,0.115
2007-08-13,None,None,None,0.115
2007-05-15,None,None,None,0.115
2007-02-14,None,None,None,0.115
2006-11-15,None,None,None,0.1
2006-08-16,None,None,None,0.1
2006-05-17,None,None,None,0.1
2006-02-15,None,None,None,0.1
2005-11-16,None,None,None,0.085
2005-08-17,None,None,None,0.085
2005-05-17,None,None,None,0.085
2005-02-15,None,None,None,0.085
2004-11-17,None,None,None,0.075
2004-08-18,None,None,None,0.075
2004-05-14,None,None,None,0.075
2004-02-11,None,None,None,0.075
2003-11-14,None,None,None,0.06
2003-08-20,None,None,None,0.06
2003-05-07,None,None,None,0.06
2003-02-05,None,None,None,0.06
2002-11-15,None,None,None,0.06
2002-08-15,None,None,None,0.06
2002-05-08,None,None,None,0.05
2002-02-06,None,None,None,0.05
2001-11-07,None,None,None,0.05
2001-08-09,None,None,None,0.05
2001-05-09,None,None,None,0.05
2001-01-31,None,None,None,0.05
2000-11-08,None,None,None,0.05
2000-08-09,None,None,None,0.05
2000-05-03,None,None,None,0.045351
2000-02-02,None,None,None,0.045351
1999-11-03,None,None,None,0.045351
1999-08-04,None,None,None,0.043192
1999-05-05,None,None,None,0.043192
1999-02-03,None,None,None,0.043192
