ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-09-12,2025-08-06,2025-09-12,2025-10-01,1.54
2025-06-13,2025-04-08,2025-06-13,2025-07-01,1.54
2025-03-14,2025-01-15,2025-03-14,2025-04-01,1.54
2024-12-13,2024-11-06,2024-12-13,2025-01-01,1.54
2024-09-13,2024-08-07,2024-09-13,2024-10-01,1.4
2024-06-14,2024-04-03,2024-06-14,2024-07-01,1.4
2024-03-07,2024-01-10,2024-03-08,2024-04-01,1.4
2023-12-07,2023-11-08,2023-12-08,2024-01-01,1.4
2023-09-07,2023-08-03,2023-09-08,2023-10-01,1.25
2023-06-08,2023-04-12,2023-06-09,2023-07-01,1.25
2023-03-09,2023-01-11,2023-03-10,2023-04-01,1.25
2022-12-08,2022-11-09,2022-12-09,2023-01-01,1.25
2022-09-08,2022-08-03,2022-09-09,2022-10-01,1.04
2022-06-09,2022-04-06,2022-06-10,2022-07-01,1.04
2022-03-10,2022-01-12,2022-03-11,2022-04-01,1.04
2021-12-09,None,None,None,1.04
2021-09-09,2021-08-04,2021-09-10,2021-10-01,0.93
2021-06-10,None,None,None,0.93
2021-03-11,2021-01-13,2021-03-12,2021-04-01,0.93
2020-12-10,2020-11-11,2020-12-11,2021-01-01,0.93
2020-09-10,2020-08-05,2020-09-11,2020-10-01,0.91
2020-06-11,None,None,None,0.91
2020-03-12,None,None,None,0.91
2019-12-12,None,None,None,0.91
2019-09-12,None,None,None,0.79
2019-06-13,None,None,None,0.79
2019-03-07,None,None,None,0.79
2018-12-13,None,None,None,0.79
2018-09-13,None,None,None,0.69
2018-06-07,None,None,None,0.69
2018-03-08,None,None,None,0.63
2017-12-07,None,None,None,0.63
2017-09-07,None,None,None,0.57
2017-06-07,None,None,None,0.57
2017-03-08,None,None,None,0.57
2016-12-07,None,None,None,0.57
2016-09-07,None,None,None,0.53
2016-06-08,None,None,None,0.53
2016-03-09,None,None,None,0.53
2015-12-09,None,None,None,0.53
2015-09-09,None,None,None,0.49
2015-06-10,None,None,None,0.49
2015-03-11,None,None,None,0.49
2014-12-10,None,None,None,0.49
2014-10-01,None,None,None,9.8219206719
2014-09-10,None,None,None,0.48
2014-06-11,None,None,None,0.48
2014-03-12,None,None,None,0.48
2013-12-11,None,None,None,0.48
2013-09-11,None,None,None,0.435
2013-06-12,None,None,None,0.435
2013-03-06,None,None,None,0.435
2012-12-12,None,None,None,0.435
2012-09-12,None,None,None,0.395
2012-06-06,None,None,None,0.395
2012-03-07,None,None,None,0.395
2011-12-07,None,None,None,0.395
2011-09-07,None,None,None,0.36
2011-06-08,None,None,None,0.36
2011-03-09,None,None,None,0.36
2010-12-08,None,None,None,0.36
2010-09-08,None,None,None,0.34
2010-06-09,None,None,None,0.34
2010-03-10,None,None,None,0.34
2009-12-09,None,None,None,0.34
2009-09-09,None,None,None,0.33
2009-06-10,None,None,None,0.33
2009-03-11,None,None,None,0.33
2008-12-10,None,None,None,0.33
2008-09-10,None,None,None,0.29
2008-06-11,None,None,None,0.29
2008-03-12,None,None,None,0.29
2007-12-12,None,None,None,0.29
2007-09-12,None,None,None,0.23
2007-06-13,None,None,None,0.23
2007-04-02,None,None,None,5.0891666667
2007-03-07,None,None,None,0.23
2006-12-06,None,None,None,0.23
2006-09-13,None,None,None,0.185
2006-06-07,None,None,None,0.185
2006-03-08,None,None,None,0.185
2005-12-07,None,None,None,0.185
2005-09-07,None,None,None,0.155
2005-06-08,None,None,None,0.155
2005-03-10,None,None,None,0.155
2004-12-08,None,None,None,0.155
2004-09-08,None,None,None,0.14
2004-06-09,None,None,None,0.14
2004-03-11,None,None,None,0.14
2003-12-10,None,None,None,0.14
2003-09-10,None,None,None,0.12
2003-06-11,None,None,None,0.12
2003-03-12,None,None,None,0.12
2002-12-11,None,None,None,0.12
2002-09-11,None,None,None,0.115
2002-06-12,None,None,None,0.115
2002-03-13,None,None,None,0.115
2001-12-12,None,None,None,0.115
2001-09-17,None,None,None,0.1025
2001-06-06,None,None,None,0.1025
2001-03-07,None,None,None,0.1025
2000-12-07,None,None,None,0.1025
2000-09-13,None,None,None,0.0875
2000-06-07,None,None,None,0.0875
2000-03-08,None,None,None,0.0875
1999-12-08,None,None,None,0.0875
1999-09-08,None,None,None,0.07625
1999-06-09,None,None,None,0.07625
1999-03-10,None,None,None,0.07625
