symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
MMM,dividend,1962-02-19,,,,0.010452
MMM,dividend,1962-08-21,,,,0.010452
MMM,dividend,1962-11-19,,,,0.010452
MMM,dividend,1963-02-18,,,,0.011758
MMM,dividend,1963-05-21,,,,0.011758
MMM,dividend,1963-08-20,,,,0.011758
MMM,dividend,1963-11-18,,,,0.011758
MMM,dividend,1964-02-17,,,,0.013064
MMM,dividend,1964-05-19,,,,0.013064
MMM,dividend,1964-08-18,,,,0.013064
MMM,dividend,1964-11-17,,,,0.013064
MMM,dividend,1965-02-16,,,,0.014371
MMM,dividend,1965-05-18,,,,0.014371
MMM,dividend,1965-08-17,,,,0.014371
MMM,dividend,1965-11-16,,,,0.014371
MMM,dividend,1966-02-21,,,,0.015677
MMM,dividend,1966-05-17,,,,0.015677
MMM,dividend,1966-08-16,,,,0.015677
MMM,dividend,1966-11-21,,,,0.015677
MMM,dividend,1967-02-20,,,,0.016984
MMM,dividend,1967-05-22,,,,0.016984
MMM,dividend,1967-08-21,,,,0.016984
MMM,dividend,1967-11-14,,,,0.013064
MMM,dividend,1968-02-16,,,,0.018969
MMM,dividend,1968-05-20,,,,0.018969
MMM,dividend,1968-08-19,,,,0.018969
MMM,dividend,1969-02-14,,,,0.020903
MMM,dividend,1969-05-19,,,,0.020903
MMM,dividend,1969-08-18,,,,0.020903
MMM,dividend,1969-11-07,,,,0.020903
MMM,dividend,1970-05-18,,,,0.022889
MMM,dividend,1970-08-17,,,,0.022889
MMM,dividend,1970-11-16,,,,0.022784
MMM,dividend,1971-02-11,,,,0.024195
MMM,dividend,1971-05-17,,,,0.024195
MMM,dividend,1971-08-16,,,,0.024195
MMM,dividend,1971-11-15,,,,0.024195
MMM,dividend,1972-02-18,,,,0.025136
MMM,dividend,1972-05-17,,,,0.025136
MMM,dividend,1972-08-21,,,,0.025188
MMM,dividend,1972-11-17,,,,0.025188
MMM,dividend,1973-02-16,,,,0.026129
MMM,dividend,1973-05-15,,,,0.026129
MMM,dividend,1973-08-20,,,,0.028742
MMM,dividend,1973-11-16,,,,0.028742
MMM,dividend,1974-02-15,,,,0.032713
MMM,dividend,1974-05-20,,,,0.032713
MMM,dividend,1974-08-19,,,,0.032713
MMM,dividend,1974-11-18,,,,0.032713
MMM,dividend,1975-02-14,,,,0.035326
MMM,dividend,1975-05-19,,,,0.035326
MMM,dividend,1975-08-18,,,,0.035222
MMM,dividend,1975-11-17,,,,0.035222
MMM,dividend,1976-02-13,,,,0.037834
MMM,dividend,1976-05-17,,,,0.037834
MMM,dividend,1976-08-16,,,,0.037834
MMM,dividend,1976-11-15,,,,0.037834
MMM,dividend,1977-02-18,,,,0.044419
MMM,dividend,1977-05-16,,,,0.044419
MMM,dividend,1977-08-15,,,,0.044419
MMM,dividend,1977-11-14,,,,0.044419
MMM,dividend,1978-02-17,,,,0.052258
MMM,dividend,1978-05-22,,,,0.052258
MMM,dividend,1978-08-21,,,,0.052258
MMM,dividend,1978-11-17,,,,0.052258
MMM,dividend,1979-02-16,,,,0.062709
MMM,dividend,1979-05-21,,,,0.062709
MMM,dividend,1979-08-20,,,,0.062709
MMM,dividend,1979-11-16,,,,0.062709
MMM,dividend,1980-02-15,,,,0.073161
MMM,dividend,1980-05-19,,,,0.073161
MMM,dividend,1980-08-18,,,,0.073161
MMM,dividend,1980-11-17,,,,0.073161
MMM,dividend,1981-02-13,,,,0.078386
MMM,dividend,1981-05-18,,,,0.078386
MMM,dividend,1981-08-17,,,,0.078386
MMM,dividend,1981-11-16,,,,0.078386
MMM,dividend,1982-02-11,,,,0.083612
MMM,dividend,1982-05-17,,,,0.083612
MMM,dividend,1982-08-16,,,,0.083612
MMM,dividend,1982-11-15,,,,0.083612
MMM,dividend,1983-02-18,,,,0.086225
MMM,dividend,1983-05-16,,,,0.086225
MMM,dividend,1983-08-15,,,,0.086225
MMM,dividend,1983-11-14,,,,0.086225
MMM,dividend,1984-02-17,,,,0.088838
MMM,dividend,1984-05-21,,,,0.088838
MMM,dividend,1984-08-20,,,,0.088838
MMM,dividend,1984-11-16,,,,0.088838
MMM,dividend,1985-02-15,,,,0.091451
MMM,dividend,1985-05-20,,,,0.091451
MMM,dividend,1985-08-19,,,,0.091451
MMM,dividend,1985-11-18,,,,0.091451
MMM,dividend,1986-02-14,,,,0.094064
MMM,dividend,1986-05-19,,,,0.094064
MMM,dividend,1986-08-18,,,,0.094064
MMM,dividend,1986-11-17,,,,0.094064
MMM,dividend,1987-02-23,,,,0.097199
MMM,dividend,1987-05-18,,,,0.097199
MMM,dividend,1987-08-17,,,,0.097199
MMM,dividend,1987-11-16,,,,0.097199
MMM,dividend,1988-02-22,,,,0.110786
MMM,dividend,1988-05-16,,,,0.110786
MMM,dividend,1988-08-15,,,,0.110786
MMM,dividend,1988-11-18,,,,0.110786
MMM,dividend,1989-02-17,,,,0.13587
MMM,dividend,1989-05-22,,,,0.13587
MMM,dividend,1989-08-21,,,,0.13587
MMM,dividend,1989-11-17,,,,0.13587
MMM,dividend,1990-02-16,,,,0.152592
MMM,dividend,1990-05-21,,,,0.152592
MMM,dividend,1990-08-20,,,,0.152592
MMM,dividend,1990-11-16,,,,0.152592
MMM,dividend,1991-02-15,,,,0.163043
MMM,dividend,1991-05-20,,,,0.163043
MMM,dividend,1991-08-19,,,,0.163043
MMM,dividend,1991-11-18,,,,0.163043
MMM,dividend,1992-02-14,,,,0.167224
MMM,dividend,1992-05-18,,,,0.167224
MMM,dividend,1992-08-17,,,,0.167224
MMM,dividend,1992-11-16,,,,0.167224
