symbol,Original Ticker
A.US,A
AAPL.US,AAPL
ABBV.US,ABBV
ABNB.US,ABNB
ABT.US,ABT
ACGL.US,ACGL
ACN.US,ACN
ADBE.US,ADBE
ADI.US,ADI
ADM.US,ADM
ADP.US,ADP
ADSK.US,ADSK
AEE.US,AEE
AEP.US,AEP
AES.US,AES
AFL.US,AFL
AIG.US,AIG
AIZ.US,AIZ
AJG.US,AJG
AKAM.US,AKAM
ALB.US,ALB
ALGN.US,ALGN
ALL.US,ALL
ALLE.US,ALLE
AMAT.US,AMAT
AMCR.US,AMCR
AMD.US,AMD
AME.US,AME
AMGN.US,AMGN
AMP.US,AMP
AMT.US,AMT
AMZN.US,AMZN
ANET.US,ANET
AON.US,AON
AOS.US,AOS
APA.US,APA
APD.US,APD
APH.US,APH
APO.US,APO
APTV.US,APTV
ARE.US,ARE
ATO.US,ATO
AVB.US,AVB
AVGO.US,AVGO
AVY.US,AVY
AWK.US,AWK
AXON.US,AXON
AXP.US,AXP
AZO.US,AZO
BA.US,BA
BAC.US,BAC
BALL.US,BALL
BAX.US,BAX
BBY.US,BBY
BDX.US,BDX
BEN.US,BEN
BG.US,BG
BIIB.US,BIIB
BK.US,BK
BKNG.US,BKNG
BKR.US,BKR
BLDR.US,BLDR
BLK.US,BLK
BMY.US,BMY
BR.US,BR
BRO.US,BRO
BSX.US,BSX
BX.US,BX
BXP.US,BXP
C.US,C
CAG.US,CAG
CAH.US,CAH
CARR.US,CARR
CAT.US,CAT
CB.US,CB
CBOE.US,CBOE
CBRE.US,CBRE
CCI.US,CCI
CCL.US,CCL
CDNS.US,CDNS
CDW.US,CDW
CEG.US,CEG
CF.US,CF
CFG.US,CFG
CHD.US,CHD
CHRW.US,CHRW
CHTR.US,CHTR
CI.US,CI
CINF.US,CINF
CL.US,CL
CLX.US,CLX
CMCSA.US,CMCSA
CME.US,CME
CMG.US,CMG
CMI.US,CMI
CMS.US,CMS
CNC.US,CNC
CNP.US,CNP
COF.US,COF
COIN.US,COIN
COO.US,COO
COP.US,COP
COR.US,COR
COST.US,COST
CPAY.US,CPAY
CPB.US,CPB
CPRT.US,CPRT
CPT.US,CPT
CRL.US,CRL
CRM.US,CRM
CRWD.US,CRWD
CSCO.US,CSCO
CSGP.US,CSGP
CSX.US,CSX
CTAS.US,CTAS
CTRA.US,CTRA
CTSH.US,CTSH
CTVA.US,CTVA
CVS.US,CVS
CVX.US,CVX
CZR.US,CZR
D.US,D
DAL.US,DAL
DASH.US,DASH
DAY.US,DAY
DD.US,DD
DDOG.US,DDOG
DE.US,DE
DECK.US,DECK
DELL.US,DELL
DG.US,DG
DGX.US,DGX
DHI.US,DHI
DHR.US,DHR
DIS.US,DIS
DLR.US,DLR
DLTR.US,DLTR
DOC.US,DOC
DOV.US,DOV
DOW.US,DOW
DPZ.US,DPZ
DRI.US,DRI
DTE.US,DTE
DUK.US,DUK
DVA.US,DVA
DVN.US,DVN
DXCM.US,DXCM
EA.US,EA
EBAY.US,EBAY
ECL.US,ECL
ED.US,ED
EFX.US,EFX
EG.US,EG
EIX.US,EIX
EL.US,EL
ELV.US,ELV
EMN.US,EMN
EMR.US,EMR
ENPH.US,ENPH
EOG.US,EOG
EPAM.US,EPAM
EQIX.US,EQIX
EQR.US,EQR
EQT.US,EQT
ERIE.US,ERIE
ES.US,ES
ESS.US,ESS
ETN.US,ETN
ETR.US,ETR
EVRG.US,EVRG
EW.US,EW
EXC.US,EXC
EXE.US,EXE
EXPD.US,EXPD
EXPE.US,EXPE
EXR.US,EXR
F.US,F
FANG.US,FANG
FAST.US,FAST
FCX.US,FCX
FDS.US,FDS
FDX.US,FDX
FE.US,FE
FFIV.US,FFIV
FI.US,FI
FICO.US,FICO
FIS.US,FIS
FITB.US,FITB
FOX.US,FOX
FOXA.US,FOXA
FRT.US,FRT
FSLR.US,FSLR
FTNT.US,FTNT
FTV.US,FTV
GD.US,GD
GDDY.US,GDDY
GE.US,GE
GEHC.US,GEHC
GEN.US,GEN
GEV.US,GEV
GILD.US,GILD
GIS.US,GIS
GL.US,GL
GLW.US,GLW
GM.US,GM
GNRC.US,GNRC
GOOG.US,GOOG
GOOGL.US,GOOGL
GPC.US,GPC
GPN.US,GPN
GRMN.US,GRMN
GS.US,GS
